practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
52344	6661	G53 7FY	NS 52299 62099	252299	662099	55.829458	-4.359599
52359	8686	G51 4BJ	NS 54498 65483	254498	665483	55.860506	-4.3263397
52400	5930	G53 6EQ	NS 53107 61327	253107	661327	55.822774	-4.3462942
52414	5083	G52 3SS	NS 53442 63842	253442	663842	55.845454	-4.3423094
52429	9345	G43 1RR	NS 56242 61640	256242	661640	55.826528	-4.2964642
55003	5992	KW14 7DH	ND 11398 68060	311398	968060	58.591452	-3.5259177
55041	15501	IV12 5EE	NH 88120 55780	288120	855780	57.578169	-3.8725624
55075	655	KW6 6EZ	ND 15611 29557	315611	929557	58.246599	-3.4392945
55080	2900	KW14 8TY	ND 19318 67895	319318	967895	58.591516	-3.3896611
55131	7326	KW1 5EL	ND 36562 50850	336562	950850	58.441325	-3.0883375
55145	2327	KW1 5EL	ND 36562 50850	336562	950850	58.441325	-3.0883375
55183	899	KW14 7SA	NC 78729 64456	278729	964456	58.55121	-4.0856197
55201	2697	IV25 3LS	NH 79825 89454	279825	889454	57.878316	-4.0280296
55220	2006	KW10 6TH	NC 83150 00069	283150	900069	57.974485	-3.9772363
55249	1171	IV27 4DD	NC 58512 06339	258512	906339	58.023597	-4.3971644
55253	943	IV27 4JZ	NC 09497 22922	209497	922922	58.153985	-5.2391632
55272	526	IV27 4XB	NC 59128 56914	259128	956914	58.477629	-4.4174578
55287	2524	KW9 6QJ	NC 90623 04082	290623	904082	58.012411	-3.8528305
55291	1651	IV24 3EP	NH 61163 91345	261163	891345	57.889873	-4.343526
55304	888	IV27 4RP	NC 22538 56222	222538	956222	58.458077	-5.043472
55319	6499	KW14 7AR	ND 11611 68130	311611	968130	58.592124	-3.5222823
55338	13200	IV17 0UN	NH 66091 69471	266091	869471	57.695057	-4.2482304
55342	269	IV54 8LS	NG 70733 43825	170733	843825	57.426735	-5.8206072
55357	2368	IV22 2HU	NG 87823 88629	187823	888629	57.836704	-5.5758949
55376	11492	IV15 9QS	NH 55572 58560	255572	858560	57.593883	-4.4180084
55381	4963	IV10 8SY	NH 72636 56644	272636	856644	57.581823	-4.1317538
55395	959	IV54 8YD	NG 89965 39672	189965	839672	57.398797	-5.4974121
55408	3420	IV8 8NG	NH 64797 53397	264797	853397	57.550401	-4.2609355
55412	3840	IV14 9AG	NH 48018 57936	248018	857936	57.585803	-4.5438605
55427	3012	IV19 1EU	NH 77535 81856	277535	881856	57.809492	-4.0627104
